name,logo_src,location,type,avg_tuition_annually,avg_tuition_after_aid,avg_aid_pack,grad_rate,address,phone_number,website,application_link,acceptance_rate,reg_app_due_date,SAT_range,ACT_range,required_GPA,required_rank,required_ACT_SAT,student_to_faculty_ratio,retention_rate_majors_avail,financial_aid_app_due_date,avg_housing_cost,undergrad_pop,campus_life,majors_available
Remington College: Shreveport,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F246214_Logo.gif&w=3840&q=75,"Shreveport, LA",4-year • Private,$25K,"$25,435",Not available,67%,"2106 Bert Kouns Industrial Loop, Shreveport, LA 71118",Phone number not available,shreveport.remingtoncollege.edu/?loc=2254,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,20:1,100%,Not available,Not available,Not available,Suburban,8
Remington College: Mobile,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3797_Logo.gif&w=3840&q=75,"Mobile, AL",2-year • Private,$25K,"$25,368",Not available,Not available,"828 Downtowner Loop W, Mobile, AL 36609",Phone number not available,http://mobile.remingtoncollege.edu,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,14:1,51%,Not available,Not available,Not available,Suburban,6
Remington College: Lafayette,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3837_Logo.gif&w=3840&q=75,"Lafayette, LA",2-year • Private,$26K,"$26,317",Not available,Not available,"4021-A Ambassador Caffery Pkwy, Ste 100A, Lafayette, LA 70508",Phone number not available,http://lafayette.remingtoncollege.edu,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,25:1,47%,Not available,Not available,Not available,Urban,5
Remington College: Greenspoint Campus,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F214516_Logo.gif&w=3840&q=75,"Houston, TX",4-year • Private,$24K,"$23,527",Not available,50%,"11310 Greens Crossing Blvd Ste 300, Houston, TX 77067",Phone number not available,greenspoint.remingtoncollege.edu/?loc=2257,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,26:1,Not available,Not available,Not available,Not available,Urban,5
Remington College: Fort Worth,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2320_Logo.gif&w=3840&q=75,"North Richland Hills, TX",4-year • Private,$26K,"$25,702",Not available,Not available,"5555 Rufe Snow Dr Ste 150, North Richland Hills, TX 76180",Phone number not available,remingtoncollege.edu/locations/fort-worth/?loc=2248,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,14:1,52%,Not available,Not available,Not available,Suburban,6
Remington College: Dallas,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3897_Logo.gif&w=3840&q=75,"Dallas, TX",4-year • Private,$25K,"$24,572",Not available,25%,"9451 Lyndon B Johnson Fwy Ste 200, Dallas, TX 75243",Phone number not available,remingtoncollege.edu/dallas,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,26:1,100%,Not available,Not available,Not available,Suburban,8
Remington College: Baton Rouge,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3866_Logo.gif&w=3840&q=75,"Baton Rouge, LA",2-year • Private,$28K,"$27,917",Not available,Not available,"4520 S Sherwood Forrest Blvd, Baton Rouge, LA 70816",Phone number not available,http://baton-rouge.remingtoncollege.edu,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,25:1,56%,Not available,Not available,Not available,Urban,3
Remington College North Houston Satellite,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F273887_Logo.gif&w=3840&q=75,"League City, TX",2-year • Private,$29K,"$28,820",Not available,Not available,"2051 W Main St, League City, TX 77573",Phone number not available,http://webster.remingtoncollege.edu,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,18:1,50%,Not available,Not available,Not available,Suburban,6
Remington College Nashville,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F214515_Logo.gif&w=3840&q=75,"Nashville, TN",2-year • Private,$25K,"$25,283",Not available,Not available,"441 Donelson Pike Ste 150, Nashville, TN 37214",Phone number not available,nashville.remingtoncollege.edu/?loc=2252,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,25:1,58%,Not available,Not available,Not available,Suburban,10
Remington College Memphis,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3795_Logo.gif&w=3840&q=75,"Memphis, TN",4-year • Private,$25K,"$24,790",Not available,71%,"2710 S Nonconnah Blvd, Memphis, TN 38132",Phone number not available,memphis.remingtoncollege.edu/?loc=2251,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Neither required nor recommended,Not available,30:1,Not available,Not available,Not available,Not available,Urban,11
Remington College Cleveland,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F660_Logo.gif&w=3840&q=75,"Maple Heights, OH",2-year • Private,$22K,"$21,951",Not available,Not available,"14801 Broadway Ave, Maple Heights, OH 44137",Phone number not available,cleveland.remingtoncollege.edu/?loc=2259,https://www.remingtoncollege.edu/apply-now-to-remington-college/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,23:1,53%,Not available,Not available,Not available,Suburban,7
Reinhardt University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F578_Logo.gif&w=3840&q=75,"Waleska, GA",4-year • Private,$27K,"$26,845","$23,633",38%,"7300 Reinhardt Cir, Waleska, GA 30183",,reinhardt.edu,https://myreinhardt.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,60%,August 28,920–1200*,14–24*,Required,Neither required nor recommended,Considered if submitted,12:1,56%,Not available,"$13,600","1,012",Small • Rural,54
Regis University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3930_Logo.gif&w=3840&q=75,"Denver, CO",4-year • Private,$26K,"$26,377","$39,744",67%,"3333 Regis Blvd, Denver, CO 80221",,regis.edu/index,https://www.regis.edu/admissions/apply,86%,August 1,1020–1220*,22–29*,Required,Neither required nor recommended,Considered if submitted,11:1,72%,May 15,"$19,728","2,622",Small • Urban,88
Regis College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3116_Logo.gif&w=3840&q=75,"Weston, MA",4-year • Private,$30K,"$30,014","$17,265",67%,"235 Wellesley Street, Weston, MA 02493",,regiscollege.edu,https://www.regiscollege.edu/admission-and-aid/undergraduate-admission/apply-now,90%,July 15,1000–1170*,30–30*,Required,Considered but not required,Considered if submitted,11:1,81%,Not available,"$17,080","1,020",Small • Suburban,36
Regent's University London,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F281370_Logo.gif&w=3840&q=75,"London, United Kingdom",Private,Not available,Not available,Not available,Not available,"Inner Circle, Regent's Park, London, United Kingdom NW1 4NS",,http://regents.ac.uk,,Not available,Not available,Not available*,Not available*,Required,Neither required nor recommended,Recommended,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Regent University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2744_Logo.gif&w=3840&q=75,"Virginia Beach, VA",4-year • Private,$17K,"$17,341","$14,137",55%,"1000 Regent University Dr, Virginia Beach, VA 23464",,regent.edu,https://www.regent.edu/apply-now/,41%,August 1,1060–1250*,21–26*,Required,Neither required nor recommended,Considered if submitted,18:1,61%,June 1,"$8,010","4,282",Medium • Suburban,97
Refrigeration School,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4424_Logo.gif&w=3840&q=75,"Phoenix, AZ",Less than 2-year • Private,$24K,"$24,120",Not available,Not available,"4210 E Washington St, Phoenix, AZ 85034",,rsi.edu,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,30:1,79%,Not available,Not available,Not available,Urban,5
Reformed University,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Lawrenceville, GA",4-year • Private,Not available,Not available,Not available,Not available,"1724 Atkinson Rd, Lawrenceville, GA 30043",Phone number not available,runiv.edu/admissions,https://www.runiv.edu/application,65%,Not available,Not available*,Not available*,Required,Neither required nor recommended,Not available,15:1,78%,Not available,Not available,Not available,Suburban,3
Reformed Episcopal Seminary,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Blue Bell, PA",4-year • Private,Not available,Not available,Not available,Not available,"826 2nd Ave, Blue Bell, PA 19422",Phone number not available,reseminary.edu/admissions,https://www.reseminary.edu/apply/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,2
Reedley College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3929_Logo.gif&w=3840&q=75,"Reedley, CA",2-year • Public,$6K,"$5,545",Not available,Not available,"995 N Reed Ave, Reedley, CA 93654",,reedleycollege.edu,https://www.reedleycollege.edu/getting-started/index.html,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,21:1,59%,Not available,"$17,982",Not available,Rural,71
Reed College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3928_Logo.gif&w=3840&q=75,"Portland, OR",4-year • Private,$33K,"$33,106","$58,707",80%,"3203 SE Woodstock Blvd, Portland, OR 97202",Phone number not available,reed.edu,https://www.reed.edu/apply/guide-to-applying/index.html,25%,Not available,1310–1490*,30–34*,Required,Recommended,Considered if submitted,9:1,87%,January 15,"$17,260","1,320",Small • Suburban,35
Redlands Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2510_Logo.gif&w=3840&q=75,"El Reno, OK",2-year • Public,$9K,"$8,583",Not available,Not available,"1300 S Country Club Rd, El Reno, OK 73036",Phone number not available,redlandscc.edu,http://www.redlandscc.edu/enrollment-information,Not available,Not available,Not available*,Not available*,Not available,Not available,Recommended,19:1,54%,June 30,Not available,Not available,Rural,15
Redeemer University College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F258407_Logo.gif&w=3840&q=75,"Ancaster, Canada",4-year • International,Not available,Not available,Not available,Not available,"777 Garner Rd E, Ancaster, Canada L9K 1J4",,redeemer.ca,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Red Rocks Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2989_Logo.gif&w=3840&q=75,"Lakewood, CO",4-year • Public,$10K,"$9,807",Not available,Not available,"13300 W 6th Ave, Lakewood, CO 80228",,rrcc.edu,https://rrcc.elluciancrmrecruit.com/Apply/Account/Login?ReturnUrl=%2fApply,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,22:1,86%,Not available,Not available,Not available,Suburban,51
Reading Area Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1072_Logo.gif&w=3840&q=75,"Reading, PA",2-year • Public,$10K,"$9,882",Not available,Not available,"10 S 2nd St, Reading, PA 19602",,racc.edu,https://racc.my.site.com/portal/TX_SiteLogin?startURL=%2Fportal%2FTargetX_Base__Portal,Not available,October 16,Not available*,Not available*,Not available,Not available,Not available,19:1,71%,June 1,Not available,Not available,Urban,43
Ravensbourne,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F295306_Logo.gif&w=3840&q=75,"London, United Kingdom",4-year • Public,Not available,Not available,Not available,Not available,"6 Penrose Way, London, United Kingdom SE10 0EW",Phone number not available,ravensbourne.ac.uk,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,Not available
Rasmussen University: Wausau,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F257327_Logo.gif&w=3840&q=75,"Wausau, WI",4-year • For-profit,Not available,Not available,Not available,Not available,"1101 Westwood Dr, Wausau, WI 54401",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Tampa/Brandon,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F272242_Logo.gif&w=3840&q=75,"Brandon, FL",4-year • For-profit,Not available,Not available,Not available,Not available,"330 Brandon Town Center Dr, Brandon, FL 33511",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: St Cloud,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4003_Logo.gif&w=3840&q=75,"Saint Cloud, MN",4-year • Private,$18K,"$17,858",Not available,Not available,"226 Park Ave S, Saint Cloud, MN 56301",,rasmussen.edu,https://rasmussen.edu/,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,13:1,Not available,Not available,Not available,Not available,Suburban,42
Rasmussen University: Romeoville/Joliet,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F257326_Logo.gif&w=3840&q=75,"Romeoville, IL",4-year • For-profit,Not available,Not available,Not available,Not available,"400 West Normantown Road, Romeoville, IL 60446",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Moorhead,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F272240_Logo.gif&w=3840&q=75,"Moorhead, MN",4-year • For-profit,Not available,Not available,Not available,Not available,"1250 29th Ave S, Moorhead, MN 56560",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Mokena/Tinley Park,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F272241_Logo.gif&w=3840&q=75,"Mokena, IL",4-year • For-profit,Not available,Not available,Not available,Not available,"8650 Spring Lake Dr, Mokena, IL 60448",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Mankato,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2939_Logo.gif&w=3840&q=75,"Mankato, MN",4-year • Private,Not available,Not available,Not available,Not available,"1400 Madison Ave., Mankato, MN 56001",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,Not available
Rasmussen University: Lake Elmo/Woodbury,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F246992_Logo.gif&w=3840&q=75,"Lake Elmo, MN",4-year • For-profit,Not available,Not available,Not available,Not available,"8565 Eagle Point Cir, Lake Elmo, MN 55042",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Fort Myers,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F246993_Logo.gif&w=3840&q=75,"Fort Myers, FL",4-year • For-profit,Not available,Not available,Not available,Not available,"9160 Forum Corporate Pkwy Ste 100, Fort Myers, FL 33905",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,Not available
Rasmussen University: Eagan,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F889_Logo.gif&w=3840&q=75,"Saint Paul, MN",2-year • Private,Not available,Not available,Not available,Not available,"1305 Corporate Center Dr, Saint Paul, MN 55121",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Central Pasco,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F273884_Logo.gif&w=3840&q=75,"Odessa, FL",2-year • For-profit,Not available,Not available,Not available,Not available,"16418 State Road 54, Odessa, FL 33556",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Brooklyn Park/Maple Grove,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F227913_Logo.gif&w=3840&q=75,"Minneapolis, MN",2-year • Private,Not available,Not available,Not available,Not available,"8301 93rd Ave N, Minneapolis, MN 55445",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Bloomington,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F890_Logo.gif&w=3840&q=75,"Bloomington, MN",4-year • Private,Not available,Not available,Not available,Not available,"4400 West 78th Street, Bloomington, MN 55435",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Blaine,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F272239_Logo.gif&w=3840&q=75,"Circle Pines, MN",4-year • For-profit,Not available,Not available,Not available,Not available,"3629 95th Ave NE, Circle Pines, MN 55014",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University: Aurora/Naperville,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F246698_Logo.gif&w=3840&q=75,"Aurora, IL",2-year • For-profit,Not available,Not available,Not available,Not available,"2363 Sequoia Dr, Aurora, IL 60506",,rasmussen.edu,,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Suburban,Not available
Rasmussen University Rockford,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F246995_Logo.gif&w=3840&q=75,"Rockford, IL",4-year • Private,$18K,"$18,027",Not available,Not available,"6000 E State St Fl 4, Rockford, IL 61108",,rasmussen.edu,https://rasmussen.edu/,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,11:1,Not available,Not available,Not available,Not available,Suburban,39
Rasmussen University Ocala,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2841_Logo.gif&w=3840&q=75,"Ocala, FL",4-year • Private,$18K,"$17,890",Not available,50%,"4755 SW 46th Ct, Ocala, FL 34474",,rasmussen.edu,https://rasmussen.edu/,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,11:1,50%,Not available,"$10,269",Not available,Suburban,41
Rasmussen University North Dakota,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3375_Logo.gif&w=3840&q=75,"Fargo, ND",4-year • Private,$17K,"$17,412",Not available,100%,"4012 19th Ave S, Fargo, ND 58103",,rasmussen.edu,https://rasmussen.edu/,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,11:1,100%,Not available,Not available,Not available,Suburban,40
Rasmussen University Green Bay,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F246994_Logo.gif&w=3840&q=75,"Green Bay, WI",4-year • Private,$20K,"$19,657",Not available,Not available,"904 S Taylor St Ste 100, Green Bay, WI 54303",,rasmussen.edu,https://rasmussen.edu/,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,8:1,Not available,Not available,Not available,Not available,Suburban,41
Raritan Valley Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3309_Logo.gif&w=3840&q=75,"Branchburg, NJ",2-year • Public,$7K,"$6,715",Not available,Not available,"118 Lamington Rd, Branchburg, NJ 08876",Phone number not available,raritanval.edu,https://www.raritanval.edu/admissions-info/apply-to-rvcc,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,19:1,70%,Not available,Not available,"5,272",Medium • Suburban,69
Rappahannock Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1000_Logo.gif&w=3840&q=75,"Saluda, VA",2-year • Public,$8K,"$7,508",Not available,Not available,"12745 College Dr, Saluda, VA 23149",Phone number not available,rappahannock.edu,https://www.apply.vccs.edu/applications/VCCS/apply.html?application_id=4093,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,22:1,60%,Not available,Not available,Not available,Rural,24
Raphaels School Of Beauty Culture Niles,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Niles, OH",Career and Technical,$16K,"$16,191",Not available,Not available,"815 Youngstown Warren Rd, Niles, OH 44446",Phone number not available,raphaelsbeautyschool.edu,https://www.raphaelsbeautyschool.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,17:1,58%,Not available,Not available,Not available,Suburban,6
Raphaels School Of Beauty Culture Alliance,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Alliance, OH",Career and Technical,$23K,"$22,854",Not available,Not available,"2445 W State St, Alliance, OH 44601",Phone number not available,raphaelsbeautyschool.edu,https://www.raphaelsbeautyschool.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,35:1,77%,Not available,Not available,Not available,Rural,5
Raphael Recanati International School,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Herzliya, Israel",4-year • International,Not available,Not available,Not available,Not available,"PO Box 167, Herzliya, Israel 46150",Phone number not available,portal.idc.ac.il/en/main/homepage/Pages/homepage.aspx,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,Not available
Ranken Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F321_Logo.gif&w=3840&q=75,"Saint Louis, MO",4-year • Private,$15K,"$15,437",Not available,23%,"4431 Finney Ave, Saint Louis, MO 63113",Phone number not available,ranken.edu/ranken-technical-college-st-louis,https://ranken.edu/apply-to-ranken/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,11:1,Not available,Not available,"$8,550",Not available,Urban,24
Ranger College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2568_Logo.gif&w=3840&q=75,"Ranger, TX",2-year • Public,$5K,"$4,919",Not available,Not available,"1100 College Cir, Ranger, TX 76470",Phone number not available,rangercollege.edu,https://campusconnect.rangercollege.edu/cc3/online_app.html,100%,Not available,Not available*,Not available*,Not available,Not available,Not available,18:1,35%,Not available,"$4,864",Not available,Rural,11
Randolph-Macon College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F576_Logo.gif&w=3840&q=75,"Ashland, VA",4-year • Private,$28K,"$28,389","$35,763",74%,"114 College Avenue, Ashland, VA 23005",,rmc.edu,https://www.rmc.edu/admissions-and-aid/how-to-apply/,87%,September 1,990–1215*,21–27*,Required,Considered but not required,Considered if submitted,11:1,84%,March 1,"$14,540","1,639",Small • Suburban,45
Randolph Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F997_Logo.gif&w=3840&q=75,"Asheboro, NC",2-year • Public,$8K,"$8,104","$6,383",Not available,"629 Industrial Park Ave, Asheboro, NC 27205",,randolph.edu,https://auth.cfnc.org/Identity/Account/Login?returnUrl=https%3A%2F%2Fapply.cfnc.org%2Fapplication%2FRandolph%2FUndergrad%2FRandolphUndergradApp,81%,Not available,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Considered if submitted,13:1,63%,Not available,Not available,"2,356",Small • Rural,32
